[122]
[13.8%]	('8',)
[13.0%]	('12',)
[12.7%]	('10',)
[12.5%]	('529',)
[12.2%]	('368',)
[10.7%]	('9',)
[10.1%]	('11',)
[9.1%]	('217',)
[9.1%]	('7',)
[8.6%]	('145',)
[8.0%]	('6',)
[7.5%]	('13',)
[7.5%]	('438',)
[7.3%]	('597',)
[7.2%]	('120',)
[7.1%]	('5',)
[7.1%]	('205',)
[6.7%]	('470',)
[6.4%]	('14',)
[6.3%]	('510',)
[6.2%]	('73',)
[6.1%]	('15',)
[6.0%]	('72',)
[6.0%]	('477',)
[5.9%]	('326',)
[5.9%]	('21',)
[5.8%]	('419',)
[5.8%]	('450',)
[5.7%]	('381',)
[5.7%]	('489',)
[5.7%]	('548',)
[5.7%]	('110',)
[5.5%]	('4',)
[5.3%]	('362',)
[5.3%]	('204',)
[5.2%]	('177',)
[5.2%]	('283',)
[5.2%]	('140',)
[5.1%]	('373',)
[5.1%]	('151',)
[5.0%]	('236',)
[4.9%]	('354',)
[4.8%]	('460',)
[4.8%]	('401',)
[4.8%]	('229',)
[4.7%]	('71',)
[4.7%]	('480',)
[4.6%]	('196',)
[4.6%]	('279',)
[4.6%]	('161',)
[4.6%]	('427',)
[4.6%]	('509',)
[4.5%]	('239',)
[4.4%]	('472',)
[4.4%]	('3',)
[4.4%]	('541',)
[4.3%]	('522',)
[4.3%]	('494',)
[4.3%]	('296',)
[4.2%]	('183',)
[4.2%]	('45',)
[4.1%]	('540',)
[4.1%]	('343',)
[4.1%]	('115',)
[4.0%]	('334',)
[4.0%]	('593',)
[4.0%]	('443',)
[4.0%]	('377',)
[4.0%]	('129',)
[4.0%]	('280',)
[4.0%]	('112',)
[3.9%]	('276',)
[3.9%]	('561',)
[3.9%]	('275',)
[3.8%]	('93',)
[3.8%]	('266',)
[3.8%]	('422',)
[3.8%]	('54',)
[3.8%]	('573',)
[3.8%]	('97',)
[3.7%]	('523',)
[3.7%]	('116',)
[3.7%]	('43',)
[3.7%]	('198',)
[3.7%]	('242',)
[3.7%]	('38',)
[3.7%]	('175',)
[3.7%]	('69',)
[3.6%]	('159',)
[3.6%]	('227',)
[3.6%]	('405',)
[3.6%]	('234',)
[3.5%]	('55',)
[3.5%]	('449',)
[3.5%]	('474',)
[3.5%]	('350',)
[3.4%]	('70',)
[3.4%]	('31',)
[3.4%]	('259',)
[3.3%]	('294',)
[3.3%]	('82',)
[3.3%]	('579',)
[3.3%]	('322',)
[3.3%]	('578',)
[3.3%]	('104',)
[3.2%]	('17',)
[3.2%]	('16',)
[3.2%]	('526',)
[3.2%]	('46',)
[3.1%]	('339',)
[3.1%]	('75',)
[3.1%]	('347',)
[3.1%]	('25',)
[3.1%]	('440',)
[3.1%]	('118',)
[3.1%]	('504',)
[3.0%]	('111',)
[3.0%]	('583',)
[3.0%]	('487',)
[3.0%]	('467',)
[3.0%]	('575',)
[3.0%]	('216',)
