[16.8%]	('12',)
[14.5%]	('8',)
[2.8%]	('12', '368')
[2.1%]	('12', '145')
[2.0%]	('368', '489')
[2.0%]	('145', '368')
[2.0%]	('368', '8')
[1.9%]	('12', '196')
[1.9%]	('196', '368')
[1.8%]	('12', '477')
[1.7%]	('116', '12')
[1.7%]	('12', '334')
[1.7%]	('460', '8')
[1.6%]	('12', '279')
[1.6%]	('368', '477')
[1.6%]	('11', '368')
[1.6%]	('368', '9')
[1.5%]	('334', '368')
[1.5%]	('12', '21')
[1.5%]	('12', '73')
[1.5%]	('12', '381')
[1.5%]	('217', '9')
[1.5%]	('12', '8')
[1.4%]	('12', '377')
[1.4%]	('12', '280')
[1.4%]	('12', '151')
[1.4%]	('151', '368')
[1.4%]	('14', '368')
[1.4%]	('470', '9')
[1.4%]	('13', '217')
[1.4%]	('11', '438')
[1.4%]	('12', '120')
[1.4%]	('120', '368')
[1.3%]	('12', '300')
[1.3%]	('12', '71')
[1.3%]	('12', '183')
[1.3%]	('236', '368')
[1.3%]	('43', '8')
[1.3%]	('12', '43')
[1.3%]	('112', '368')
[1.3%]	('354', '8')
[1.3%]	('21', '368')
[1.3%]	('368', '73')
[1.3%]	('120', '494')
[1.3%]	('12', '362')
[1.3%]	('145', '239')
[1.3%]	('12', '438')
[1.3%]	('196', '8')
[1.3%]	('196', '217')
[1.3%]	('145', '8')
[1.2%]	('12', '319')
[1.2%]	('11', '25')
[1.2%]	('349', '368')
[1.2%]	('183', '368')
[1.2%]	('368', '55')
[1.2%]	('12', '354')
[1.2%]	('151', '217')
[1.2%]	('21', '217')
[1.2%]	('419', '9')
[1.2%]	('12', '489')
[1.2%]	('368', '381')
[1.2%]	('196', '9')
[1.2%]	('217', '8')
[1.2%]	('10', '368')
[1.1%]	('12', '378')
[1.1%]	('12', '192')
[1.1%]	('12', '467')
[1.1%]	('12', '51')
[1.1%]	('12', '316')
[1.1%]	('12', '171')
[1.1%]	('12', '70')
[1.1%]	('11', '129')
[1.1%]	('145', '93')
[1.1%]	('12', '229')
[1.1%]	('12', '480')
[1.1%]	('12', '3')
[1.1%]	('450', '8')
[1.1%]	('12', '283')
[1.1%]	('112', '140')
[1.1%]	('422', '8')
[1.1%]	('12', '401')
[1.1%]	('15', '368')
[1.1%]	('21', '8')
[1.1%]	('12', '326')
[1.1%]	('5', '73')
[1.1%]	('217', '460')
[1.1%]	('14', '145')
[1.1%]	('362', '9')
[1.1%]	('161', '368')
[1.1%]	('10', '419')
[1.1%]	('217', '419')
[1.1%]	('11', '489')
[1.1%]	('489', '9')
[1.1%]	('196', '205')
[1.1%]	('205', '438')
[1.1%]	('12', '205')
[1.1%]	('13', '381')
[1.1%]	('12', '13')
[1.1%]	('438', '9')
[1.1%]	('120', '7')
[1.1%]	('12', '217')
[1.1%]	('10', '12')
[1.1%]	('12', '9')
[1.1%]	('8', '9')
[1.0%]	('368', '49')
[1.0%]	('12', '46')
[1.0%]	('207', '368')
[1.0%]	('1', '12')
[1.0%]	('290', '8')
[1.0%]	('12', '158')
[1.0%]	('12', '310')
[1.0%]	('224', '368')
[1.0%]	('12', '492')
[1.0%]	('467', '9')
[1.0%]	('118', '12')
[1.0%]	('12', '208')
[1.0%]	('12', '69')
[1.0%]	('12', '440')
[1.0%]	('300', '368')
[1.0%]	('12', '427')
[1.0%]	('227', '9')
[1.0%]	('12', '82')
[1.0%]	('10', '82')
[1.0%]	('161', '204')
[1.0%]	('234', '326')
[1.0%]	('120', '349')
[1.0%]	('350', '368')
[1.0%]	('350', '9')
[1.0%]	('236', '381')
[1.0%]	('460', '55')
[1.0%]	('229', '239')
[1.0%]	('368', '480')
[1.0%]	('10', '480')
[1.0%]	('12', '45')
[1.0%]	('110', '14')
[1.0%]	('110', '120')
[1.0%]	('11', '280')
[1.0%]	('283', '334')
[1.0%]	('112', '217')
[1.0%]	('12', '422')
[1.0%]	('368', '401')
[1.0%]	('15', '381')
[1.0%]	('140', '239')
[1.0%]	('21', '7')
[1.0%]	('145', '326')
[1.0%]	('120', '14')
[1.0%]	('12', '14')
[1.0%]	('362', '368')
[1.0%]	('196', '362')
[1.0%]	('11', '362')
[1.0%]	('12', '470')
[1.0%]	('161', '9')
[1.0%]	('120', '161')
[1.0%]	('239', '8')
[1.0%]	('239', '368')
[1.0%]	('205', '7')
[1.0%]	('120', '13')
[1.0%]	('120', '9')
[1.0%]	('11', '120')
[1.0%]	('10', '217')
[1.0%]	('217', '368')
[1.0%]	('7', '8')
[0.9%]	('12', '89')
[0.9%]	('12', '26')
[0.9%]	('112', '268')
[0.9%]	('268', '460')
[0.9%]	('12', '348')
[0.9%]	('259', '73')
[0.9%]	('120', '197')
[0.9%]	('12', '216')
